indicator,country,countryiso3code,date,value,indicator_code
"School enrollment, primary (% gross)",Afghanistan,AFG,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Afghanistan,AFG,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Afghanistan,AFG,2023,112.230903625488,SE.PRM.ENRR
"School enrollment, primary (% gross)",Afghanistan,AFG,2022,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Afghanistan,AFG,2021,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Afghanistan,AFG,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Afghanistan,AFG,2019,109.075309753418,SE.PRM.ENRR
"School enrollment, primary (% gross)",Afghanistan,AFG,2018,107.687660217285,SE.PRM.ENRR
"School enrollment, primary (% gross)",Afghanistan,AFG,2017,106.54354095459,SE.PRM.ENRR
"School enrollment, primary (% gross)",Afghanistan,AFG,2016,106.784042358398,SE.PRM.ENRR
"School enrollment, primary (% gross)",Albania,ALB,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Albania,ALB,2024,111.511650085449,SE.PRM.ENRR
"School enrollment, primary (% gross)",Albania,ALB,2023,93.7138120137738,SE.PRM.ENRR
"School enrollment, primary (% gross)",Albania,ALB,2022,96.3712299304757,SE.PRM.ENRR
"School enrollment, primary (% gross)",Albania,ALB,2021,97.1075038284839,SE.PRM.ENRR
"School enrollment, primary (% gross)",Albania,ALB,2020,100.020970049835,SE.PRM.ENRR
"School enrollment, primary (% gross)",Albania,ALB,2019,102.58954115148,SE.PRM.ENRR
"School enrollment, primary (% gross)",Albania,ALB,2018,104.568015324639,SE.PRM.ENRR
"School enrollment, primary (% gross)",Albania,ALB,2017,105.414970908323,SE.PRM.ENRR
"School enrollment, primary (% gross)",Albania,ALB,2016,105.324777401077,SE.PRM.ENRR
"School enrollment, primary (% gross)",Algeria,DZA,2025,105.480690694811,SE.PRM.ENRR
"School enrollment, primary (% gross)",Algeria,DZA,2024,106.368889468205,SE.PRM.ENRR
"School enrollment, primary (% gross)",Algeria,DZA,2023,105.840748480875,SE.PRM.ENRR
"School enrollment, primary (% gross)",Algeria,DZA,2022,105.74715363116,SE.PRM.ENRR
"School enrollment, primary (% gross)",Algeria,DZA,2021,104.739764213022,SE.PRM.ENRR
"School enrollment, primary (% gross)",Algeria,DZA,2020,108.531941210547,SE.PRM.ENRR
"School enrollment, primary (% gross)",Algeria,DZA,2019,106.067513980116,SE.PRM.ENRR
"School enrollment, primary (% gross)",Algeria,DZA,2018,107.095121871029,SE.PRM.ENRR
"School enrollment, primary (% gross)",Algeria,DZA,2017,108.062271942986,SE.PRM.ENRR
"School enrollment, primary (% gross)",Algeria,DZA,2016,109.072307418092,SE.PRM.ENRR
"School enrollment, primary (% gross)",American Samoa,ASM,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",American Samoa,ASM,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",American Samoa,ASM,2023,,SE.PRM.ENRR
"School enrollment, primary (% gross)",American Samoa,ASM,2022,,SE.PRM.ENRR
"School enrollment, primary (% gross)",American Samoa,ASM,2021,,SE.PRM.ENRR
"School enrollment, primary (% gross)",American Samoa,ASM,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)",American Samoa,ASM,2019,,SE.PRM.ENRR
"School enrollment, primary (% gross)",American Samoa,ASM,2018,,SE.PRM.ENRR
"School enrollment, primary (% gross)",American Samoa,ASM,2017,,SE.PRM.ENRR
"School enrollment, primary (% gross)",American Samoa,ASM,2016,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Andorra,AND,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Andorra,AND,2024,99.8579545454545,SE.PRM.ENRR
"School enrollment, primary (% gross)",Andorra,AND,2023,97.4446725986767,SE.PRM.ENRR
"School enrollment, primary (% gross)",Andorra,AND,2022,90.4656808651512,SE.PRM.ENRR
"School enrollment, primary (% gross)",Andorra,AND,2021,89.7379912663755,SE.PRM.ENRR
"School enrollment, primary (% gross)",Andorra,AND,2020,89.4271272114575,SE.PRM.ENRR
"School enrollment, primary (% gross)",Andorra,AND,2019,90.3239289446186,SE.PRM.ENRR
"School enrollment, primary (% gross)",Andorra,AND,2018,90.7088926174497,SE.PRM.ENRR
"School enrollment, primary (% gross)",Andorra,AND,2017,90.2031316123572,SE.PRM.ENRR
"School enrollment, primary (% gross)",Andorra,AND,2016,91.0415773681955,SE.PRM.ENRR
"School enrollment, primary (% gross)",Angola,AGO,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Angola,AGO,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Angola,AGO,2023,86.7353918783767,SE.PRM.ENRR
"School enrollment, primary (% gross)",Angola,AGO,2022,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Angola,AGO,2021,89.2266094661321,SE.PRM.ENRR
"School enrollment, primary (% gross)",Angola,AGO,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Angola,AGO,2019,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Angola,AGO,2018,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Angola,AGO,2017,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Angola,AGO,2016,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Antigua and Barbuda,ATG,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Antigua and Barbuda,ATG,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Antigua and Barbuda,ATG,2023,112.255406797116,SE.PRM.ENRR
"School enrollment, primary (% gross)",Antigua and Barbuda,ATG,2022,121.563206835888,SE.PRM.ENRR
"School enrollment, primary (% gross)",Antigua and Barbuda,ATG,2021,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Antigua and Barbuda,ATG,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Antigua and Barbuda,ATG,2019,112.847576892521,SE.PRM.ENRR
"School enrollment, primary (% gross)",Antigua and Barbuda,ATG,2018,112.740837097168,SE.PRM.ENRR
"School enrollment, primary (% gross)",Antigua and Barbuda,ATG,2017,109.74291229248,SE.PRM.ENRR
"School enrollment, primary (% gross)",Antigua and Barbuda,ATG,2016,107.432655305113,SE.PRM.ENRR
"School enrollment, primary (% gross)",Argentina,ARG,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Argentina,ARG,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Argentina,ARG,2023,102.535244031037,SE.PRM.ENRR
"School enrollment, primary (% gross)",Argentina,ARG,2022,106.759826660156,SE.PRM.ENRR
"School enrollment, primary (% gross)",Argentina,ARG,2021,108.139617919922,SE.PRM.ENRR
"School enrollment, primary (% gross)",Argentina,ARG,2020,108.504623413086,SE.PRM.ENRR
"School enrollment, primary (% gross)",Argentina,ARG,2019,109.338218688965,SE.PRM.ENRR
"School enrollment, primary (% gross)",Argentina,ARG,2018,109.305458068848,SE.PRM.ENRR
"School enrollment, primary (% gross)",Argentina,ARG,2017,109.879669189453,SE.PRM.ENRR
"School enrollment, primary (% gross)",Argentina,ARG,2016,111.654647827148,SE.PRM.ENRR
"School enrollment, primary (% gross)",Armenia,ARM,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Armenia,ARM,2024,101.990554375733,SE.PRM.ENRR
"School enrollment, primary (% gross)",Armenia,ARM,2023,98.0899878191202,SE.PRM.ENRR
"School enrollment, primary (% gross)",Armenia,ARM,2022,96.9454296559019,SE.PRM.ENRR
